,,,,,,,,
S.No,Hall Name ,Stall Name,Company Name ,Parent Company Name ,Register Type ,Country ,Company  Logo,Address
53,Hall C,CS2.11,Ethereal Machines Private Limited,--,Exhibitor,India,Picture,"No. 15, 2nd Phase, Industrial Suburb, Tumkur Rd, Goraguntepalya, Bengaluru, Karnataka 560022"
54,Hall F,FS2.7,Indo Aerospace Solutions Private Limited,--,Exhibitor,India,Picture,"4, Birbal Marg, Jangpura Extension, New Delhi - 110014, India"
55,"Hall A, Hall A","AS2.9, AS2.10",BIKAR METALS INDIA PRIVATE LIMITED,--,Exhibitor,India,Picture,"Aequs SEZ Plot No. 27 Sy No. 437/A Hukkeri, Taluk, Hattargi, Belagavi, Karnataka 591243"
56,Hall J,JR2.3,Embraer,--,Exhibitor,Foreign,Picture,"530, Westend Mall, District Centre, Janakpuri, West Delhi, Delhi, India, 110058"
57,Hall C,CR4.5,Ankit Aerospace Private Limited,--,Exhibitor,India,Picture,"Phase - I, # 297, Haragadde Village, Road No. 4, Jigni Industrial Estate, Bengaluru, Karnataka 560105"
58,Hall B,BR3.2,DASSAULT AIRCRAFT SERVICES INDIA PRIVATE LIMITED,--,Exhibitor,India,Picture,"A-280, Bhishma Pitamah Marg, Block A, Defence Colony, New Delhi, Delhi 110003"
59,Hall J,JR1.2a,SASMOS HET Technologies Limited,--,Exhibitor,India,Picture," #5, Onyx Centre, Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru – 560001, Karnataka"
60,"Hall B, Hall B","BS5.22, BS5.21",RAY-Q INTERCONNECTION TECHNOLOGIES INDIA PVT LTD,--,Exhibitor,India,Picture," Ancillary Industrial Layout Estate, 36, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
61,"Hall A, Hall A","AS4.6, AS4.7",AVI-OIL INDIA PVT LTD,--,Exhibitor,India,Picture,"Logix City Center Office Tower, 12th Floor, Tower-A, Sector-32, Noida, UP"
62,Hall A,AS3.4,Lakshmi Vacuum Technologies Pvt Ltd,--,Exhibitor,India,Picture,"GFH5+X37, Phase V, IDA Jeedimetla, Jeedimetla, Hyderabad, Telangana 500100"
63,Hall A,AS3.2,Pushpak Industrial Services,--,Exhibitor,India,Picture,"No. 303, Pushpak, MES Ring Rd, Seetharam Industrial Estate, Jalahalli Village, Jalahalli, Bengaluru, Karnataka 560013"
64,Hall A,AR5.1,Zen Technologies Limited,--,Exhibitor,India,Picture,"Industrial Estate, B-42, Allauddin Basthi, Sanath Nagar, Hyderabad, Telangana 500018"
65,Hall B,BR3.1,MBDA,--,Exhibitor,Foreign,Picture,"257 Bhisham Pitamah Marg, Defence Colony, Delhi - 110024, India."
66,Hall H,HR1.2,Schiebel Systems India Private Limited,--,Exhibitor,India,Picture," 6HX4+GFG, Adibatla, Telangana 501510"
67,"Hall C, Hall C","CR6.3, CS1.1",HICAL TECHNOLOGIES PRIVATE LIMITED,--,Exhibitor,India,Picture,"Survey No: 46&47, First Main Rd, Phase II, Electronic City, Bengaluru, Karnataka 560100"
68,Hall E,ER5.3,MISHRA DHATU NIGAM LIMITED,--,Exhibitor,India,Picture,"8GP6+435, Virat Nagar, Kanchan Bagh, Hyderabad, Telangana 500058"
69,Hall K,KS2.2,RSR AVIATION SERVICES PVT LTD,--,Exhibitor,India,Picture,"G-24 ,Road:, Unit No-B-67/68 , Platinum Springs Plot Number :6, G-20 to, Navde, Taloja, Navi Mumbai, Maharashtra 410208"
70,"Hall C, Hall C","CR4.4, CS3.10",Paras Defence and Space Technologies Limited,--,Exhibitor,India,Picture,"D-112, TTC Industrial Area, MIDC, Nerul, Navi Mumbai - 400706, India. "
71,Hall A,AR7.1,UK Defence and Security Exports,--,Exhibitor,Foreign,Picture,"D-112, TTC Industrial Area, MIDC, Nerul, Navi Mumbai - 400706, India. "
72,Hall C,CS2.10,SEC Industries Private Limited,--,Exhibitor,India,Picture,"6-25, opp. IDPL Factory, Bhavani Nagar, Balanagar, Hyderabad, Telangana 500037"
73,Hall C,CR4.3,Maini Precision Products Limited,--,Exhibitor,India,Picture,"B-165, Peenya Industrial Estate, 1st Stage, 3rd Cross, Bangalore - 560058. Karnataka, INDIA"
74,Hall K,KR4.3,AERO REL SYSTEMS PRIVATE LIMITED,VEER-O-METALS PRIVATE LIMITED,Co-Exhibitor,India,Picture,"h, 4-363/1, Rd Number 2, Sarvodaya Colony, Meerpet, Hyderabad, Telangana 500097"
75,Hall C,CR4.2,PBS INDIA PRIVATE LIMITED,--,Exhibitor,India,Picture,"7th Block, SJR PRIMUS Building, 5th Floor. 1, Koramangala Industrial Layout, Koramangala, Bengaluru, Karnataka 560095"
76,"Hall A, Hall A","AR5.3e, AR5.4",Elbit Systems Ltd,--,Exhibitor,Foreign,Picture,
77,Hall B,BS5.24,Samanvee Technologies,--,Exhibitor,India,Picture," Advanced Technology Center, P.O.B. 539, Haifa, 31053 Israel. "
78,"Hall B, Hall B","BS5.16, BS5.15",TENTACLE AEROLOGISTIX PVT LTD,--,Exhibitor,India,Picture,"Level 2, Indradhanush, Gubbi Cross, No 15, Hennur Bagalur Main Rd, Post, Kothanur, Bengaluru, Karnataka 560077"
79,CHALET,CHALET.40,Dynamatic Technologies Limited,--,Exhibitor,India,Picture,"JKM Plaza, Dynamatic Aerotropolis, 55, KIADB Aerospace Park, Devanahalli, Bengaluru, Karnataka 562 149, India"
80,Hall C,CR4.6,ideaForge Technology Pvt Ltd,--,Exhibitor,India,Picture," EL - 146, TTC Industrial Area, Electronic Zone, MIDC Industrial Area, Mahape, Navi Mumbai, Maharashtra 400710"
81,Hall C,CS1.10,Tailwind Aerospace Solutions Inc,--,Exhibitor,Foreign,Picture,"1751 California Ave Suite 103, Corona, CA 92881, United States"
82,Hall H,HR2.6,Zetatek Technologies Private Limited,--,Exhibitor,India,Picture,"Technocrats, Plot No.31, Industrial Estate, Balanagar, Hyderabad, Telangana 500037"
83,Hall A,AR7.4a,Astra Rafael Comsys Private Limited,--,Exhibitor,India,Picture,"Plot No.21(P)/B), Survey No.1/1, ,500005 Raviyala Revenue Village,Maheshwaram Mandal, Hyderabad, Telangana 501510"
84,Hall K,KR4.4A,USHODAYA ELECTRONICS,--,Exhibitor,India,Picture,"H.No : 1, 8-21, Trimulgherry - ECIL Rd, North Kamala Nagar, Hyderabad, Telangana 500062"
